site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,crop_1_name,crop_2_name,crop_3_name,crop_1_yield,crop_2_yield,crop_3_yield,plot_revenue_dollars,plot_gross_margin_dollars
roseworthy,ROSEWORTHY_S4_P2312_R3,2023,1,370.9,816.4513999999999,wheat,lentil,NA,3499,517,NA,1490.72,303.36860000000024
roseworthy,ROSEWORTHY_S4_P2312_R3,2023,2,207.6648082,232.98000000000002,Barley,Faba Bean,NA,1419.594828,26.99750164,NA,437.6179096,-3.026898611
roseworthy,ROSEWORTHY_S6_P0000_R2,2023,1,279,592.1894,wheat,NA,NA,5306,NA,NA,1750.98,879.7906
roseworthy,ROSEWORTHY_S6_P0000_R2,2023,2,191,258.456,Barley,NA,NA,10.81680468,NA,NA,3.223407795,-446.2325922
roseworthy,ROSEWORTHY_S1.1_P3123_R2,2023,1,257,592.1894,barley,NA,NA,5447,NA,NA,1623.206,774.0165999999999
roseworthy,ROSEWORTHY_S1.1_P3123_R2,2023,2,182.5,478.53000000000003,Lentil,NA,NA,455.4766276,NA,NA,296.0598079,-364.9701921
roseworthy,ROSEWORTHY_S1.1_P1231_R1,2023,1,270.5,786.8794,lentil,NA,NA,1983,NA,NA,1288.95,231.5706
roseworthy,ROSEWORTHY_S1.1_P1231_R1,2023,2,202,299.93600000000004,Wheat,NA,NA,2348.748663,NA,NA,775.0870588,273.1510588
roseworthy,ROSEWORTHY_S1.2_P3123_R1,2023,1,268,592.1894,barley,NA,NA,5069,NA,NA,1510.562,650.3725999999999
roseworthy,ROSEWORTHY_S1.2_P3123_R1,2023,2,193.5,478.53,Lentil,NA,NA,1034.142582,NA,NA,672.1926783,0.1626783000000387
roseworthy,ROSEWORTHY_S3_P2121_R3,2023,1,268,592.1894,durum,NA,NA,2270,NA,NA,971.56,111.37059999999997
roseworthy,ROSEWORTHY_S3_P2121_R3,2023,2,182.5,298.45500000000004,Vetch,NA,NA,0,NA,NA,0,-480.955
roseworthy,ROSEWORTHY_S8_P0121_R3,2024,1,182.5,394.53,Lentil,NA,NA,1006.529272,NA,NA,654.2440268,77.21402680000006
roseworthy,ROSEWORTHY_S1.2_P3123_R2,2023,1,279,592.1894,barley,NA,NA,5141,NA,NA,1532.018,660.8286
roseworthy,ROSEWORTHY_S1.2_P3123_R2,2023,2,182.5,478.53,Lentil,NA,NA,998.2770728,NA,NA,648.8800973,-12.14990268
roseworthy,ROSEWORTHY_S1.1_P1231_R3,2023,1,270.5,786.8794,lentil,NA,NA,1799,NA,NA,1169.35,111.97059999999988
roseworthy,ROSEWORTHY_S1.1_P1231_R3,2023,2,191,299.93600000000004,Wheat,NA,NA,1991.272616,NA,NA,657.1199633,166.18396327999994
roseworthy,ROSEWORTHY_S8_P0121_R1,2024,1,182.5,394.53,Lentil,NA,NA,819.1592419,NA,NA,532.4535072,-44.57649277
roseworthy,ROSEWORTHY_S2_P2121_R3,2023,1,279,592.1894,durum,NA,NA,2519,NA,NA,1078.132,206.94260000000008
roseworthy,ROSEWORTHY_S2_P2121_R3,2023,2,193.5,478.53,Lentil,NA,NA,908.0072558,NA,NA,590.2047162700001,-81.82528373
roseworthy,ROSEWORTHY_S7_P0000_R2,2023,1,257,6808.229399999999,durum,NA,NA,3575,NA,NA,1530.1,-5535.1294
roseworthy,ROSEWORTHY_S7_P0000_R2,2023,2,182.5,10348.086,Barley,NA,NA,1334.787504,NA,NA,397.7666762,-10132.81932
roseworthy,ROSEWORTHY_S4_P1231_R2,2023,1,339.85,579.2794,canola,fieldpea,NA,578,1756,NA,1151.472,232.34259999999995
roseworthy,ROSEWORTHY_S4_P1231_R2,2023,2,225.08516899724998,439.23,Wheat,Lentil,NA,1681.372549,22.03421089,NA,569.1751782485001,-95.13999075
roseworthy,ROSEWORTHY_S4_P3123_R2,2023,1,370.225,558.6094,barley,fababean,NA,3945,484,NA,1436.9699999999998,508.13559999999984
roseworthy,ROSEWORTHY_S4_P3123_R2,2023,2,221.7404611,267.18,Canola,Field Pea,NA,981.9810103,147.6374356,NA,677.3766718621999,188.45621071469992
roseworthy,ROSEWORTHY_S1.1_P2312_R3,2023,1,279,592.1894,wheat,NA,NA,4659,NA,NA,1537.47,666.2806
roseworthy,ROSEWORTHY_S1.1_P2312_R3,2023,2,202,299.93600000000004,Barley,NA,NA,617.6518386,NA,NA,184.0602479,-317.8757521
roseworthy,ROSEWORTHY_S1.1_P3123_R1,2023,1,279,592.1894,barley,NA,NA,5260,NA,NA,1567.48,696.2906
roseworthy,ROSEWORTHY_S1.1_P3123_R1,2023,2,193.5,478.53000000000003,Lentil,NA,NA,1073.082918,NA,NA,697.5038967,25.47389670000001
