,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_revenue_dollars,plot_gross_margin_dollars,,Zeros,NAS
128,manang,MANANG_S1.1_P3123_R3,2024,2,193.5,189.3017,1495,1112.1983,,0,0
129,manang,MANANG_S4_P3412_R2,2023,1,180,434.32,1032.57,418.25,,0,0
130,manang,MANANG_S4_P3412_R2,2024,2,230,389.3020102,495,-124.3020102,,0,0
131,manang,MANANG_S7_P1231_R3,2023,1,274,746.7126587,627,-393.7126587,,0,0
132,manang,MANANG_S8.1_P2312_R1,2023,1,202,434.32,1166.88,530.56,,0,0
133,manang,MANANG_S8.1_P2312_R1,2024,2,230,396.0979385,231,-395.0979385,,0,0
134,manang,MANANG_S5_P2341_R2,2023,1,213,434.32,1055.01,407.69,,0,0
135,manang,MANANG_S5_P2341_R2,2024,2,230,432.2510423,165,-497.2510423,,0,0
136,manang,MANANG_S3_P1231_R3,2023,1,204.5,501.3472,529.75,-176.0972,,0,0
137,manang,MANANG_S3_P1231_R3,2024,2,193.5,189.3017,260,-122.8017,,0,0
138,manang,MANANG_S8.1_P1231_R3,2023,1,204.5,524.5,0,-729,,0,0
139,manang,MANANG_S8.1_P1231_R3,2024,2,221.5,407.6677994,627,-2.1677994,,0,0
140,manang,MANANG_S4_P1234_R1,2023,1,226.5,501.3472,436.8,-291.0472,,0,0
141,manang,MANANG_S4_P1234_R1,2024,2,210.5,357.8069634,1368.4,800.0930366,,0,0
142,manang,MANANG_S10.1_P3123_R3,2023,1,182.5,409.82,862.95,270.63,,0,0
143,manang,MANANG_S10.1_P3123_R3,2024,2,193.5,207.1572,759,358.3428,,0,0
144,manang,MANANG_S5_P3412_R2,2023,1,202,434.32,895.62,259.3,,0,0
145,manang,MANANG_S5_P3412_R2,2024,2,230,386.0716228,462,-154.0716228,,0,0
146,manang,MANANG_S4_P1234_R2,2023,1,204.5,501.3472,701.35,-4.4972,,0,0
147,manang,MANANG_S4_P1234_R2,2024,2,210.5,357.8069634,373.2,-195.1069634,,0,0
148,manang,MANANG_S2_P2121_R3,2023,1,202,434.32,1050.06,413.74,,0,0
149,manang,MANANG_S2_P2121_R3,2024,2,193.5,189.3017,195,-187.8017,,0,0
150,manang,MANANG_S3_P3123_R3,2023,1,191,434.32,821.04,195.72,,0,0
151,manang,MANANG_S3_P3123_R3,2024,2,193.5,189.3017,1495,1112.1983,,0,0
152,manang,MANANG_S11_P2121_R2,2023,1,191,434.32,913.44,288.12,,0,0
153,manang,MANANG_S11_P2121_R2,2024,2,210.5,371.5268374,330,-252.0268374,,0,0
154,manang,MANANG_S5_P1234_R2,2023,1,204.5,501.3472,702.65,-3.1972,,0,0
155,manang,MANANG_S5_P1234_R2,2024,2,230,397.1617173,693,65.8382827,,0,0
156,manang,MANANG_S10.1_P3123_R1,2023,1,182.5,409.82,1079.1,486.78,,0,0
157,manang,MANANG_S10.1_P3123_R1,2024,2,193.5,207.1572,297,-103.6572,,0,0
