,site,plot,year,annual_plot_operational_costs_dollars,annual_plot_material_input_costs_dollars,annual_plot_revenue_dollars,annual_plot_gross_margin_dollars
239,roseworthy,ROSEWORTHY_S4_BUFFER_R1,2024,22.0,90.75,0.0,-112.75
240,roseworthy,ROSEWORTHY_S2_BUFFER_R2,2024,22.0,60.5,0.0,-82.5
241,roseworthy,ROSEWORTHY_S1.1_P2312_R1,2024,191.0,215.93599999999998,269.9947400746,-136.9412599254
242,roseworthy,ROSEWORTHY_S1.1_P2312_R1,2023,268.0,676.1894,1657.59,713.4005999999999
243,roseworthy,ROSEWORTHY_S6_BUFFER_R1,2024,22.0,30.25,0.0,-52.25
244,roseworthy,ROSEWORTHY_S2_P2121_R1,2024,182.5,394.53,666.0389612499999,89.00896124999997
245,roseworthy,ROSEWORTHY_S2_P2121_R1,2023,290.0,676.1894,1452.632,486.4426000000001
246,roseworthy,ROSEWORTHY_S1.1_P1231_R1,2024,191.0,215.93599999999998,775.08705879,368.15105879000004
247,roseworthy,ROSEWORTHY_S1.1_P1231_R1,2023,281.5,870.8794,1288.95,136.5706
248,roseworthy,ROSEWORTHY_S2_P2121_R3,2024,182.5,394.53,590.2047162700001,13.17471627000009
249,roseworthy,ROSEWORTHY_S2_P2121_R3,2023,290.0,676.1894,1078.132,111.94260000000008
250,roseworthy,ROSEWORTHY_S1.2_P3123_R2,2024,182.5,394.53,648.88009732,71.85009732000003
251,roseworthy,ROSEWORTHY_S1.2_P3123_R2,2023,268.0,676.1894,1532.018,587.8286
252,roseworthy,ROSEWORTHY_S2_P1212_R2,2024,191.0,205.93599999999998,536.6214324900001,139.6854324900001
253,roseworthy,ROSEWORTHY_S2_P1212_R2,2023,281.5,870.8794,949.0,-203.37940000000003
254,roseworthy,ROSEWORTHY_S6_P0000_R1,2024,191.0,174.45600000000002,5.35813376868,-360.09786623132004
255,roseworthy,ROSEWORTHY_S6_P0000_R1,2023,257.0,676.1894,1949.64,1016.4506000000001
256,roseworthy,ROSEWORTHY_S3_P1212_R3,2024,182.5,165.93599999999998,612.02184681,263.5858468100001
257,roseworthy,ROSEWORTHY_S3_P1212_R3,2023,270.5,660.9044,0.0,-931.4044
258,roseworthy,ROSEWORTHY_S1.2_P2312_R2,2024,191.0,205.93599999999998,402.141379964,5.205379964000031
259,roseworthy,ROSEWORTHY_S1.2_P2312_R2,2023,268.0,676.1894,1852.29,908.1006
260,roseworthy,ROSEWORTHY_S1.2_P1231_R3,2024,191.0,205.93599999999998,500.6283579,103.69235790000005
261,roseworthy,ROSEWORTHY_S1.2_P1231_R3,2023,292.5,870.8794,961.35,-202.0294
262,roseworthy,ROSEWORTHY_S6_BUFFER_R3,2024,22.0,30.25,0.0,-52.25
263,roseworthy,ROSEWORTHY_S7_BUFFER_R3,2024,22.0,30.25,0.0,-52.25
264,roseworthy,ROSEWORTHY_S5_P0000_R1,2024,182.5,165.93599999999998,659.5458771,311.1098771
