,site,plot,year,annual_plot_operational_costs_dollars,annual_plot_material_input_costs_dollars,annual_plot_revenue_dollars,annual_plot_gross_margin_dollars
161,hart,HART_S1.2_P3123_R3,2023,202.0,235.75835,1191.106,753.3476499999999
162,hart,HART_S4.1_P1234_R2,2024,213.0,252.75948176,497.64,31.880518239999986
163,hart,HART_S4.1_P1234_R2,2023,204.5,222.5193,821.6,394.58070000000004
164,hart,HART_S10.2_P1231_R2,2024,213.0,288.74418625,458.7000000000001,-43.04418624999988
165,hart,HART_S10.2_P1231_R2,2023,204.5,227.7693,828.686,396.41670000000005
166,hart,HART_S4.3_P3412_R3,2024,213.0,243.27791397000001,95.658,-360.61991397
167,hart,HART_S4.3_P3412_R3,2023,213.0,249.5018,350.186,-112.31580000000002
168,hart,HART_S10.2_P2312_R3,2024,213.0,219.97245029500002,512.56,79.58754970499993
169,hart,HART_S10.2_P2312_R3,2023,202.0,218.75835,950.73,529.97165
170,hart,HART_S3_P4123_R3,2024,204.5,280.3244,234.0,-250.82440000000003
171,hart,HART_S3_P4123_R3,2023,202.0,235.75834999999998,1180.378,742.61965
172,hart,HART_S6_P4123_R3,2024,204.5,280.32439999999997,383.5,-101.32439999999997
173,hart,HART_S6_P4123_R3,2023,202.0,235.75834999999998,1207.794,770.0356500000001
174,hart,HART_S10.1_P1231_R2,2024,213.0,266.395073865,317.13,-162.26507386499998
175,hart,HART_S10.1_P1231_R2,2023,204.5,227.7693,1017.254,584.9847
176,hart,HART_S2.3_BUFFER_R3,2024,11.0,38.0,0.0,-49.0
177,hart,HART_S7_P4123_R2,2024,204.5,280.3244,504.4,19.57559999999995
178,hart,HART_S7_P4123_R2,2023,202.0,235.75834999999998,963.732,525.97365
179,hart,HART_S10.2_P2312_R2,2024,213.0,219.97245029500002,332.27,-100.70245029500003
180,hart,HART_S10.2_P2312_R2,2023,202.0,218.75835,940.83,520.0716500000001
181,hart,HART_S9_P3412_R1,2024,213.0,258.68351425000003,119.498,-352.18551425000004
182,hart,HART_S9_P3412_R1,2023,202.0,246.75835,1082.4,633.64165
183,hart,HART_S3_P2341_R2,2024,204.5,280.32439999999997,404.3,-80.52439999999996
184,hart,HART_S3_P2341_R2,2023,202.0,246.75835,891.6600000000001,442.9016500000001
185,hart,HART_S4.1_BUFFER_R1,2024,11.0,152.0,0.0,-163.0
186,hart,HART_S8_P4123_R1,2024,204.5,280.3244,438.75,-46.074400000000026
187,hart,HART_S8_P4123_R1,2023,202.0,246.75835,1116.39,667.63165
188,hart,HART_S9_P4123_R1,2024,193.5,177.03,0.0,-370.53
189,hart,HART_S9_P4123_R1,2023,202.0,235.75835,1102.6,664.8416499999998
190,hart,HART_S7_P4123_R3,2024,204.5,280.3244,438.75,-46.074400000000026
