,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_yield_kilograms_per_hectare,plot_main_crop,plot_revenue_dollars,plot_gross_margin_dollars
964,streatham,STREATHAM_S2.2_P4123_R2,2024,2,240.0,836.633,TBD,TBD,1815.1515153,738.5185153
965,streatham,STREATHAM_S8_P2312_R3,2023,1,307.0,1275.4,TBD,TBD,2598.716,1016.3159999999998
966,streatham,STREATHAM_S8_P2312_R3,2024,2,215.5,889.8746394927537,TBD,TBD,924.98319903,-180.39144046275362
967,streatham,STREATHAM_S2.4_P3412_R3,2023,1,296.0,1442.3675999999998,TBD,TBD,1903.11,164.7424000000001
968,streatham,STREATHAM_S2.4_P3412_R3,2024,2,259.5,1111.9089351449275,TBD,TBD,1168.93481199,-202.47412315492738
969,streatham,STREATHAM_S6.2_P1231_R1,2023,1,226.5,961.9,TBD,TBD,0.0,-1188.4
970,streatham,STREATHAM_S6.2_P1231_R1,2024,2,226.5,958.3714365942029,TBD,TBD,1301.94163872,117.07020212579698
971,streatham,STREATHAM_S1.4_P1212_R1,2023,1,307.0,1315.4,TBD,TBD,2919.046,1296.6459999999997
972,streatham,STREATHAM_S1.4_P1212_R1,2024,2,248.5,1106.6266742753626,TBD,TBD,1009.25925936,-345.8674149153626
973,streatham,STREATHAM_S4_P2312_R2,2023,1,307.0,1275.4,TBD,TBD,2581.922,999.5219999999999
974,streatham,STREATHAM_S4_P2312_R2,2024,2,215.5,885.3147844202899,TBD,TBD,870.3703704300001,-230.44441399028983
975,streatham,STREATHAM_S2.3_P4123_R3,2023,1,296.0,1414.8675999999998,TBD,TBD,1920.27,209.40240000000017
976,streatham,STREATHAM_S2.3_P4123_R3,2024,2,273.0,932.0660000000001,TBD,TBD,1639.1129031,434.0469030999999
977,streatham,STREATHAM_S2.3_P1234_R1,2023,1,270.5,1200.1525,TBD,TBD,1388.88,-81.77249999999981
978,streatham,STREATHAM_S2.3_P1234_R1,2023,2,281.5,1000.5082771739131,TBD,TBD,1478.20987662,196.2015994460868
979,streatham,STREATHAM_S9.2_P1212_R2,2023,1,276.5,1123.9499999999998,TBD,TBD,2670.246,1269.7960000000003
980,streatham,STREATHAM_S9.2_P1212_R2,2024,2,215.5,877.973509057971,TBD,TBD,889.8148149000001,-203.6586941579709
981,streatham,STREATHAM_S2.2_P1234_R2,2023,1,292.5,1266.3500000000001,TBD,TBD,1380.7800000000002,-178.06999999999994
982,streatham,STREATHAM_S2.2_P1234_R2,2024,2,248.5,910.4324655797102,TBD,TBD,1720.7968573259998,561.8643917462896
983,streatham,STREATHAM_S1.4_P1212_R2,2023,1,307.0,1315.4,TBD,TBD,267.46,-1354.94
984,streatham,STREATHAM_S1.4_P1212_R2,2024,2,248.5,1106.6266742753623,TBD,TBD,851.85185184,-503.27482243536235
985,streatham,STREATHAM_S4_P3123_R3,2023,1,296.0,1399.8675999999998,TBD,TBD,1794.5400000000002,98.67240000000038
986,streatham,STREATHAM_S4_P3123_R3,2024,2,196.0,635.0,TBD,TBD,0.0,-831.0
987,streatham,STREATHAM_S2.4_P3412_R2,2023,1,296.0,1442.3675999999998,TBD,TBD,1596.21,-142.15759999999977
