plotID,year,month,day,name,targetPest,unitsAppliedKgOrLitres,appliedAmount,comments
MANANG_S2_P2121_R3,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S2_P2121_R3,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S2_P2121_R3,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P1231_R1,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P1231_R1,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P1231_R1,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P1231_R1,2023,9,26,Sumi-alpha flex,faw,L,0.33,"to control grubs in pulses, podding"
MANANG_S3_P1231_R2,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P1231_R2,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P1231_R2,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P1231_R2,2023,9,26,Sumi-alpha flex,faw,L,0.33,"to control grubs in pulses, podding"
MANANG_S3_P1231_R3,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P1231_R3,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P1231_R3,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P1231_R3,2023,9,26,Sumi-alpha flex,faw,L,0.33,"to control grubs in pulses, podding"
MANANG_S3_P2312_R1,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P2312_R1,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P2312_R1,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P2312_R1,2023,9,26,Sumi-alpha flex,faw,L,0.33,"to control grubs in pulses, podding"
MANANG_S3_P2312_R2,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P2312_R2,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P2312_R2,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P2312_R2,2023,9,26,Sumi-alpha flex,faw,L,0.33,"to control grubs in pulses, podding"
MANANG_S3_P2312_R3,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P2312_R3,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P2312_R3,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P2312_R3,2023,9,26,Sumi-alpha flex,faw,L,0.33,"to control grubs in pulses, podding"
MANANG_S3_P3123_R1,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P3123_R1,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P3123_R1,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P3123_R2,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P3123_R2,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P3123_R2,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P3123_R3,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P3123_R3,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S3_P3123_R3,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P1234_R1,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P1234_R1,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P1234_R1,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P1234_R1,2023,9,26,Sumi-alpha flex,faw,L,0.33,"to control grubs in pulses, podding"
MANANG_S4_P1234_R2,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P1234_R2,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P1234_R2,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P1234_R2,2023,9,26,Sumi-alpha flex,faw,L,0.33,"to control grubs in pulses, podding"
MANANG_S4_P1234_R3,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P1234_R3,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P1234_R3,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P1234_R3,2023,9,26,Sumi-alpha flex,faw,L,0.33,"to control grubs in pulses, podding"
MANANG_S4_P2341_R1,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P2341_R1,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P2341_R1,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P2341_R1,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S4_P2341_R2,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P2341_R2,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P2341_R2,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P2341_R2,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S4_P2341_R3,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P2341_R3,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P2341_R3,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P2341_R3,2023,4,29,Pyrinex Super,RLEM,L,1,at sowing - insecticide
MANANG_S4_P3412_R1,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P3412_R1,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P3412_R1,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P3412_R2,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P3412_R2,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P3412_R2,2023,10,11,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P3412_R3,2023,4,29,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
MANANG_S4_P3412_R3,2023,5,17,MouseOff,mice,kg,1,MouseOff zinc phosphide bait
